id_celda,loc_name,nombre_lugar,nivel_riesgo,probabilidad_riesgo,indice_prioridad,accion_recomendada,num_reportes,num_cestas,tiene_macroruta
C04618,Engativá,Engativá • Transversal 113F con Calle 67,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,28.0,1
C08076,Barrios Unidos,Barrios Unidos • Calle 63C con Carrera 27B,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,29.0,1
C08344,Barrios Unidos,Barrios Unidos • Av. Calle 80 con Carrera 53,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C04832,Kennedy,Kennedy • Av. Primero de Mayo con Carrera 68C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,21.0,1
C02399,Kennedy,Kennedy • Calle 38 Sur con Carrera 99A Costado Norte,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,26.0,1
C04700,Kennedy,Kennedy • Carrera 68A entre Calle 36A Sur con Calle 37 Bis Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,19.0,1
C04746,Engativá,Engativá • Carrera 112D con Calle 68B,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,26.0,1
C00966,Bosa,Bosa • Calle 72B Sur con Carrera 87C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C00965,Bosa,Bosa • Calle 74 Sur con Av. 86,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C07959,Barrios Unidos,Barrios Unidos • Diagonal 79B con Carrera 63,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,27.0,1
C07955,Barrios Unidos,Barrios Unidos • Tranversal 56A Calle 73,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,35.0,1
C08069,Teusaquillo,Teusaquillo • Carrera 24 con Calle 49,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C04881,Engativá,Engativá • Calle 77 con Carrera 119C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,33.0,1
C04876,Engativá,Engativá • Carrera 113 con Calle 70C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,13.0,1
C05005,Engativá,Engativá • Carrera 111C con Calle 71,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,13.0,1
C02383,Kennedy,Kennedy • Calle 55 Sur con Carrera 80A a Carrera 80G,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,40.0,1
C05070,Tunjuelito,Tunjuelito • Transversal 14 51 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C05122,Fontibón,Fontibón • Carrera 96 Bis B Calle 25D,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
C05121,Fontibón,Fontibón • Carrera 96 entre Calle 24C con Calle 25D,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C05118,Fontibón,Fontibón • Carrera 90 con Call 24 Costado Oriente - Occidente,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,43.0,1
C05249,Fontibón,Fontibón • Transversal 95 entre Calle 24F con Calle 25D,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,9.0,1
C05247,Fontibón,Fontibón • Av. Ciudad de Cali con Calle 24D Interseccion Para Tomar la Av. la Esperanza,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,18.0,1
C05256,Engativá,Engativá • Transversal 103 con Calle 63,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,10.0,1
C05267,Engativá,Engativá • Carrera 114 con Calle 78,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,40.0,1
C05332,Rafael Uribe Uribe,Rafael Uribe Uribe • Av. 14 44 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,9.0,1
C05337,Rafael Uribe Uribe,Rafael Uribe Uribe • Carrera 27 con Calle 38 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,28.0,1
C05375,Fontibón,Fontibón • Transversal 84A entre Calle 24D con Calle 24F,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,40.0,1
C05371,Fontibón,Fontibón • Transversal 73A con Calle 23,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,15.0,1
C08060,Los Mártires,Los Mártires • Calle 26 con Carrera 19,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,21.0,1
C08084,Barrios Unidos,Barrios Unidos • Carrera 55 con Calle 75,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,33.0,1
C02270,Kennedy,Kennedy • Calle 38 Sur de Carrera 89A Carrera 101,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C07796,Los Mártires,Los Mártires • Calle 13 con Carrera 15,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,8.0,1
C00846,Bosa,Bosa • Calle 63 Sur con Carrera 104A Bis,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
C00958,Bosa,Bosa • Calle 73C Sur con Carrera 77I,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
C07789,Santa Fe,Santa Fe • Barrio Las Cruces (Carrera 6 con Calle 2B 12),🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C07924,Santa Fe,Santa Fe • Jimenez con Carrera 11 la Capuchina,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,12.0,1
C02256,Kennedy,Kennedy • Carrera 81C con Calle 54 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,28.0,1
C05397,Engativá,Engativá • Carrera 114 con Calle 79,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,22.0,1
C07915,Santa Fe,Santa Fe • Calle 1A Este con Carrera 1C,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C05437,Usme,Usme • Calle 72 Sur con Carrera 14L,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,38.0,1
C05497,Fontibón,Fontibón • Av. Boyaca Costado Oriental con Calle 22,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C01220,Bosa,Bosa • Diagonal 71 Sur con Transversal 81,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,29.0,1
C07663,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Calle 6 con Carrera 9),🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C07659,San Cristóbal,San Cristóbal • Carrera 6 con Calle 1,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C07675,Los Mártires,Los Mártires • Carrera 27 con Calle 23A,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,35.0,1
C07672,Los Mártires,Los Mártires • Diagonal 19A con Transversal 21,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,8.0,1
C05576,Rafael Uribe Uribe,Rafael Uribe Uribe • Calle 53 Sur con Carrera 4M,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,5.0,1
C05563,Usme,Usme • Calle 76 Sur con Carrera 14A,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,13.0,1
C05683,Usme,Usme • Carrera 7 con Calle 108 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,21.0,1
C02140,Kennedy,Kennedy • Carrera 100A con Calle 42F Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C05703,Usme,Usme • Diagonal 57A con Transversal 3B,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,19.0,1
